    PID TTY          TIME CMD
      1 ?        00:02:11 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      6 ?        00:00:00 kworker/0:0H-events_highpri
      9 ?        00:00:00 mm_percpu_wq
     10 ?        00:00:00 rcu_tasks_rude_
     11 ?        00:00:00 rcu_tasks_trace
     12 ?        00:00:02 ksoftirqd/0
     13 ?        00:01:53 rcu_sched
     14 ?        00:00:00 migration/0
     15 ?        00:00:00 idle_inject/0
     16 ?        00:00:00 cpuhp/0
     17 ?        00:00:00 cpuhp/1
     18 ?        00:00:00 idle_inject/1
     19 ?        00:00:00 migration/1
     20 ?        00:00:02 ksoftirqd/1
     22 ?        00:00:00 kworker/1:0H-events_highpri
     23 ?        00:00:00 cpuhp/2
     24 ?        00:00:00 idle_inject/2
     25 ?        00:00:00 migration/2
     26 ?        00:00:01 ksoftirqd/2
     28 ?        00:00:00 kworker/2:0H-kblockd
     29 ?        00:00:00 cpuhp/3
     30 ?        00:00:00 idle_inject/3
     31 ?        00:00:00 migration/3
     32 ?        00:00:02 ksoftirqd/3
     34 ?        00:00:00 kworker/3:0H-events_highpri
     35 ?        00:00:00 kdevtmpfs
     36 ?        00:00:00 netns
     37 ?        00:00:00 inet_frag_wq
     38 ?        00:00:00 kauditd
     42 ?        00:00:00 khungtaskd
     43 ?        00:00:00 oom_reaper
     44 ?        00:00:00 writeback
     45 ?        00:00:01 kcompactd0
     46 ?        00:00:00 ksmd
     47 ?        00:00:00 khugepaged
     93 ?        00:00:00 kintegrityd
     94 ?        00:00:00 kblockd
     95 ?        00:00:00 blkcg_punt_bio
     96 ?        00:00:00 tpm_dev_wq
     97 ?        00:00:00 ata_sff
     98 ?        00:00:00 md
     99 ?        00:00:00 edac-poller
    100 ?        00:00:00 devfreq_wq
    101 ?        00:00:00 watchdogd
    104 ?        00:00:04 kworker/1:1H-kblockd
    107 ?        00:00:00 kswapd0
    108 ?        00:00:00 ecryptfs-kthrea
    110 ?        00:00:00 kthrotld
    111 ?        00:00:00 irq/24-pciehp
    112 ?        00:00:00 irq/25-pciehp
    113 ?        00:00:00 irq/26-pciehp
    114 ?        00:00:00 irq/27-pciehp
    115 ?        00:00:00 irq/28-pciehp
    116 ?        00:00:00 irq/29-pciehp
    117 ?        00:00:00 irq/30-pciehp
    118 ?        00:00:00 irq/31-pciehp
    119 ?        00:00:00 irq/32-pciehp
    120 ?        00:00:00 irq/33-pciehp
    121 ?        00:00:00 irq/34-pciehp
    122 ?        00:00:00 irq/35-pciehp
    123 ?        00:00:00 irq/36-pciehp
    124 ?        00:00:00 irq/37-pciehp
    125 ?        00:00:00 irq/38-pciehp
    126 ?        00:00:00 irq/39-pciehp
    127 ?        00:00:00 irq/40-pciehp
    128 ?        00:00:00 irq/41-pciehp
    129 ?        00:00:00 irq/42-pciehp
    130 ?        00:00:00 irq/43-pciehp
    131 ?        00:00:00 irq/44-pciehp
    132 ?        00:00:00 irq/45-pciehp
    133 ?        00:00:00 irq/46-pciehp
    134 ?        00:00:00 irq/47-pciehp
    135 ?        00:00:00 irq/48-pciehp
    136 ?        00:00:00 irq/49-pciehp
    137 ?        00:00:00 irq/50-pciehp
    138 ?        00:00:00 irq/51-pciehp
    139 ?        00:00:00 irq/52-pciehp
    140 ?        00:00:00 irq/53-pciehp
    141 ?        00:00:00 irq/54-pciehp
    142 ?        00:00:00 irq/55-pciehp
    143 ?        00:00:00 acpi_thermal_pm
    144 ?        00:00:00 scsi_eh_0
    145 ?        00:00:00 scsi_tmf_0
    146 ?        00:00:00 scsi_eh_1
    147 ?        00:00:00 scsi_tmf_1
    149 ?        00:00:00 vfio-irqfd-clea
    150 ?        00:00:00 ipv6_addrconf
    151 ?        00:00:04 kworker/3:1H-kblockd
    161 ?        00:00:00 kstrp
    164 ?        00:00:00 zswap-shrink
    165 ?        00:00:00 kworker/u257:0
    170 ?        00:00:00 charger_manager
    219 ?        00:00:06 kworker/0:1H-kblockd
    220 ?        00:00:00 scsi_eh_2
    221 ?        00:00:00 scsi_tmf_2
    222 ?        00:04:23 scsi_eh_3
    223 ?        00:00:00 scsi_tmf_3
    224 ?        00:00:00 scsi_eh_4
    225 ?        00:00:00 scsi_tmf_4
    226 ?        00:00:00 scsi_eh_5
    227 ?        00:00:00 scsi_tmf_5
    228 ?        00:00:00 scsi_eh_6
    229 ?        00:00:00 scsi_tmf_6
    230 ?        00:00:00 scsi_eh_7
    231 ?        00:00:00 scsi_tmf_7
    232 ?        00:00:00 scsi_eh_8
    233 ?        00:00:00 scsi_tmf_8
    234 ?        00:00:00 scsi_eh_9
    235 ?        00:00:00 scsi_tmf_9
    236 ?        00:00:00 scsi_eh_10
    237 ?        00:00:00 scsi_tmf_10
    238 ?        00:00:00 scsi_eh_11
    239 ?        00:00:00 scsi_tmf_11
    240 ?        00:00:00 scsi_eh_12
    241 ?        00:00:00 scsi_tmf_12
    242 ?        00:00:00 scsi_eh_13
    243 ?        00:00:00 scsi_tmf_13
    244 ?        00:00:00 scsi_eh_14
    245 ?        00:00:00 scsi_tmf_14
    246 ?        00:00:00 scsi_eh_15
    247 ?        00:00:00 scsi_tmf_15
    248 ?        00:00:00 scsi_eh_16
    249 ?        00:00:00 scsi_tmf_16
    250 ?        00:00:00 scsi_eh_17
    251 ?        00:00:00 scsi_tmf_17
    252 ?        00:00:00 scsi_eh_18
    253 ?        00:00:00 scsi_tmf_18
    254 ?        00:00:00 scsi_eh_19
    255 ?        00:00:00 scsi_tmf_19
    256 ?        00:00:00 scsi_eh_20
    257 ?        00:00:00 scsi_tmf_20
    258 ?        00:00:00 scsi_eh_21
    259 ?        00:00:00 scsi_tmf_21
    260 ?        00:00:00 scsi_eh_22
    261 ?        00:00:00 scsi_tmf_22
    262 ?        00:00:00 scsi_eh_23
    263 ?        00:00:00 scsi_tmf_23
    264 ?        00:00:00 scsi_eh_24
    265 ?        00:00:00 scsi_tmf_24
    266 ?        00:00:00 scsi_eh_25
    267 ?        00:00:00 scsi_tmf_25
    268 ?        00:00:00 scsi_eh_26
    269 ?        00:00:00 scsi_tmf_26
    270 ?        00:00:00 scsi_eh_27
    271 ?        00:00:00 scsi_tmf_27
    272 ?        00:00:00 scsi_eh_28
    273 ?        00:00:00 scsi_tmf_28
    274 ?        00:00:00 scsi_eh_29
    275 ?        00:00:00 scsi_tmf_29
    276 ?        00:00:00 scsi_eh_30
    277 ?        00:00:00 scsi_tmf_30
    278 ?        00:00:00 scsi_eh_31
    279 ?        00:00:00 scsi_tmf_31
    284 ?        00:00:00 mpt_poll_0
    289 ?        00:00:00 mpt/0
    309 ?        00:00:34 kworker/2:1H-kblockd
    311 ?        00:00:00 scsi_eh_32
    312 ?        00:00:00 scsi_tmf_32
    336 ?        00:00:01 jbd2/sda5-8
    337 ?        00:00:00 ext4-rsv-conver
    376 ?        00:00:02 systemd-journal
    404 ?        00:00:00 loop0
    407 ?        00:00:38 systemd-udevd
    408 ?        00:00:00 loop1
    409 ?        00:00:00 loop2
    411 ?        00:00:00 loop3
    432 ?        00:00:00 loop4
    451 ?        00:00:03 irq/16-vmwgfx
    452 ?        00:00:00 ttm_swap
    453 ?        00:00:00 card0-crtc0
    455 ?        00:00:00 card0-crtc1
    456 ?        00:00:00 card0-crtc2
    459 ?        00:00:00 card0-crtc3
    460 ?        00:00:00 card0-crtc4
    462 ?        00:00:00 card0-crtc5
    464 ?        00:00:00 card0-crtc6
    465 ?        00:00:00 card0-crtc7
    482 ?        00:00:00 cryptd
    699 ?        00:00:01 systemd-resolve
    704 ?        00:00:00 systemd-timesyn
    836 ?        00:00:00 accounts-daemon
    837 ?        00:00:01 acpid
    840 ?        00:00:01 avahi-daemon
    841 ?        00:00:00 cron
    845 ?        00:05:37 dbus-daemon
    848 ?        00:00:08 NetworkManager
    853 ?        00:00:01 irqbalance
    861 ?        00:00:00 networkd-dispat
    868 ?        00:00:04 polkitd
    871 ?        00:00:00 rsyslogd
    874 ?        00:00:00 switcheroo-cont
    875 ?        00:02:39 systemd-logind
    876 ?        00:04:36 udisksd
    878 ?        00:00:00 wpa_supplicant
    885 ?        00:00:00 avahi-daemon
    927 ?        00:00:00 unattended-upgr
    933 ?        00:00:00 ModemManager
   1018 ?        00:00:00 whoopsie
   1022 ?        00:00:01 kerneloops
   1027 ?        00:00:01 kerneloops
   1843 ?        00:00:00 systemd-udevd
   1844 ?        00:00:00 systemd-udevd
   1845 ?        00:00:00 systemd-udevd
   1846 ?        00:00:00 systemd-udevd
   1847 ?        00:00:00 systemd-udevd
   1848 ?        00:00:00 systemd-udevd
   1849 ?        00:00:00 systemd-udevd
   1850 ?        00:00:00 systemd-udevd
   1851 ?        00:00:00 systemd-udevd
   1852 ?        00:00:00 systemd-udevd
   1853 ?        00:00:00 systemd-udevd
   1854 ?        00:00:00 systemd-udevd
   1855 ?        00:00:00 systemd-udevd
   1856 ?        00:00:00 systemd-udevd
   1857 ?        00:00:00 systemd-udevd
   1858 ?        00:00:00 systemd-udevd
   1859 ?        00:00:00 systemd-udevd
   1868 ?        00:00:00 systemd-udevd
   1869 ?        00:00:00 systemd-udevd
   1870 ?        00:00:00 systemd-udevd
   1871 ?        00:00:00 systemd-udevd
   1872 ?        00:11:12 systemd-udevd
   1873 ?        00:00:00 systemd-udevd
   1874 ?        00:00:00 systemd-udevd
   1982 ?        00:00:34 vmtoolsd
